,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average score,performance_category
0,female,group B,bachelor's degree,standard,none,72,72,74,72.66666666666667,Medium
1,female,group C,some college,standard,completed,69,90,88,82.33333333333333,High
2,female,group B,master's degree,standard,none,90,95,93,92.66666666666667,High
3,male,group A,associate's degree,free/reduced,none,47,57,44,49.333333333333336,Low
4,male,group C,some college,standard,none,76,78,75,76.33333333333333,Medium
5,female,group B,associate's degree,standard,none,71,83,78,77.33333333333333,Medium
6,female,group B,some college,standard,completed,88,95,92,91.66666666666667,High
7,male,group B,some college,free/reduced,none,40,43,39,40.666666666666664,Low
8,male,group D,high school,free/reduced,completed,64,64,67,65.0,Medium
9,female,group B,high school,free/reduced,none,38,60,50,49.333333333333336,Low
10,male,group C,associate's degree,standard,none,58,54,52,54.666666666666664,Low
11,male,group D,associate's degree,standard,none,40,52,43,45.0,Low
12,female,group B,high school,standard,none,65,81,73,73.0,Medium
13,male,group A,some college,standard,completed,78,72,70,73.33333333333333,Medium
14,female,group A,master's degree,standard,none,50,53,58,53.666666666666664,Low
15,female,group C,some high school,standard,none,69,75,78,74.0,Medium
16,male,group C,high school,standard,none,88,89,86,87.66666666666667,High
17,female,group B,some high school,free/reduced,none,18,32,28,26.0,Low
18,male,group C,master's degree,free/reduced,completed,46,42,46,44.666666666666664,Low
19,female,group C,associate's degree,free/reduced,none,54,58,61,57.666666666666664,Low
20,male,group D,high school,standard,none,66,69,63,66.0,Medium
21,female,group B,some college,free/reduced,completed,65,75,70,70.0,Medium
22,male,group D,some college,standard,none,44,54,53,50.333333333333336,Low
23,female,group C,some high school,standard,none,69,73,73,71.66666666666667,Medium
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80,75.0,Medium
25,male,group A,master's degree,free/reduced,none,73,74,72,73.0,Medium
26,male,group B,some college,standard,none,69,54,55,59.333333333333336,Low
27,female,group C,bachelor's degree,standard,none,67,69,75,70.33333333333333,Medium
28,male,group C,high school,standard,none,70,70,65,68.33333333333333,Medium
29,female,group D,master's degree,standard,none,62,70,75,69.0,Medium
30,female,group D,some college,standard,none,69,74,74,72.33333333333333,Medium
31,female,group B,some college,standard,none,63,65,61,63.0,Medium
32,female,group E,master's degree,free/reduced,none,56,72,65,64.33333333333333,Medium
33,male,group D,some college,standard,none,40,42,38,40.0,Low
34,male,group E,some college,standard,none,97,87,82,88.66666666666667,High
35,male,group E,associate's degree,standard,completed,81,81,79,80.33333333333333,High
36,female,group D,associate's degree,standard,none,74,81,83,79.33333333333333,Medium
37,female,group D,some high school,free/reduced,none,50,64,59,57.666666666666664,Low
38,female,group D,associate's degree,free/reduced,completed,75,90,88,84.33333333333333,High
39,male,group B,associate's degree,free/reduced,none,57,56,57,56.666666666666664,Low
40,male,group C,associate's degree,free/reduced,none,55,61,54,56.666666666666664,Low
41,female,group C,associate's degree,standard,none,58,73,68,66.33333333333333,Medium
42,female,group B,associate's degree,standard,none,53,58,65,58.666666666666664,Low
43,male,group B,some college,free/reduced,completed,59,65,66,63.333333333333336,Medium
44,female,group E,associate's degree,free/reduced,none,50,56,54,53.333333333333336,Low
45,male,group B,associate's degree,standard,none,65,54,57,58.666666666666664,Low
46,female,group A,associate's degree,standard,completed,55,65,62,60.666666666666664,Medium
47,female,group C,high school,standard,none,66,71,76,71.0,Medium
48,female,group D,associate's degree,free/reduced,completed,57,74,76,69.0,Medium
49,male,group C,high school,standard,completed,82,84,82,82.66666666666667,High
50,male,group E,some college,standard,none,53,55,48,52.0,Low
51,male,group E,associate's degree,free/reduced,completed,77,69,68,71.33333333333333,Medium
52,male,group C,some college,standard,none,53,44,42,46.333333333333336,Low
53,male,group D,high school,standard,none,88,78,75,80.33333333333333,High
54,female,group C,some high school,free/reduced,completed,71,84,87,80.66666666666667,High
55,female,group C,high school,free/reduced,none,33,41,43,39.0,Low
56,female,group E,associate's degree,standard,completed,82,85,86,84.33333333333333,High
57,male,group D,associate's degree,standard,none,52,55,49,52.0,Low
58,male,group D,some college,standard,completed,58,59,58,58.333333333333336,Low
59,female,group C,some high school,free/reduced,none,0,17,10,9.0,Low
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72,75.0,Medium
61,male,group A,some high school,free/reduced,none,39,39,34,37.333333333333336,Low
62,male,group A,associate's degree,free/reduced,none,62,61,55,59.333333333333336,Low
63,female,group C,associate's degree,standard,none,69,80,71,73.33333333333333,Medium
64,female,group D,some high school,standard,none,59,58,59,58.666666666666664,Low
65,male,group B,some high school,standard,none,67,64,61,64.0,Medium
66,male,group D,some high school,free/reduced,none,45,37,37,39.666666666666664,Low
67,female,group C,some college,standard,none,60,72,74,68.66666666666667,Medium
68,male,group B,associate's degree,free/reduced,none,61,58,56,58.333333333333336,Low
69,female,group C,associate's degree,standard,none,39,64,57,53.333333333333336,Low
70,female,group D,some college,free/reduced,completed,58,63,73,64.66666666666667,Medium
71,male,group D,some college,standard,completed,63,55,63,60.333333333333336,Medium
72,female,group A,associate's degree,free/reduced,none,41,51,48,46.666666666666664,Low
73,male,group C,some high school,free/reduced,none,61,57,56,58.0,Low
74,male,group C,some high school,standard,none,49,49,41,46.333333333333336,Low
75,male,group B,associate's degree,free/reduced,none,44,41,38,41.0,Low
76,male,group E,some high school,standard,none,30,26,22,26.0,Low
77,male,group A,bachelor's degree,standard,completed,80,78,81,79.66666666666667,Medium
78,female,group D,some high school,standard,completed,61,74,72,69.0,Medium
79,female,group E,master's degree,standard,none,62,68,68,66.0,Medium
80,female,group B,associate's degree,standard,none,47,49,50,48.666666666666664,Low
81,male,group B,high school,free/reduced,none,49,45,45,46.333333333333336,Low
82,male,group A,some college,free/reduced,completed,50,47,54,50.333333333333336,Low
83,male,group E,associate's degree,standard,none,72,64,63,66.33333333333333,Medium
84,male,group D,high school,free/reduced,none,42,39,34,38.333333333333336,Low
85,female,group C,some college,standard,none,73,80,82,78.33333333333333,Medium
86,female,group C,some college,free/reduced,none,76,83,88,82.33333333333333,High
87,female,group D,associate's degree,standard,none,71,71,74,72.0,Medium
88,female,group A,some college,standard,none,58,70,67,65.0,Medium
89,female,group D,some high school,standard,none,73,86,82,80.33333333333333,High
90,female,group C,bachelor's degree,standard,none,65,72,74,70.33333333333333,Medium
91,male,group C,high school,free/reduced,none,27,34,36,32.333333333333336,Low
92,male,group C,high school,standard,none,71,79,71,73.66666666666667,Medium
93,male,group C,associate's degree,free/reduced,completed,43,45,50,46.0,Low
94,female,group B,some college,standard,none,79,86,92,85.66666666666667,High
95,male,group C,associate's degree,free/reduced,completed,78,81,82,80.33333333333333,High
96,male,group B,some high school,standard,completed,65,66,62,64.33333333333333,Medium
97,female,group E,some college,standard,completed,63,72,70,68.33333333333333,Medium
98,female,group D,some college,free/reduced,none,58,67,62,62.333333333333336,Medium
99,female,group D,bachelor's degree,standard,none,65,67,62,64.66666666666667,Medium
100,male,group B,some college,standard,none,79,67,67,71.0,Medium
101,male,group D,bachelor's degree,standard,completed,68,74,74,72.0,Medium
102,female,group D,associate's degree,standard,none,85,91,89,88.33333333333333,High
103,male,group B,high school,standard,completed,60,44,47,50.333333333333336,Low
104,male,group C,some college,standard,completed,98,86,90,91.33333333333333,High
105,female,group C,some college,standard,none,58,67,72,65.66666666666667,Medium
106,female,group D,master's degree,standard,none,87,100,100,95.66666666666667,High
107,male,group E,associate's degree,standard,completed,66,63,64,64.33333333333333,Medium
108,female,group B,associate's degree,free/reduced,none,52,76,70,66.0,Medium
109,female,group B,some high school,standard,none,70,64,72,68.66666666666667,Medium
110,female,group D,associate's degree,free/reduced,completed,77,89,98,88.0,High
111,male,group C,high school,standard,none,62,55,49,55.333333333333336,Low
112,male,group A,associate's degree,standard,none,54,53,47,51.333333333333336,Low
113,female,group D,some college,standard,none,51,58,54,54.333333333333336,Low
114,female,group E,bachelor's degree,standard,completed,99,100,100,99.66666666666667,High
115,male,group C,high school,standard,none,84,77,74,78.33333333333333,Medium
116,female,group B,bachelor's degree,free/reduced,none,75,85,82,80.66666666666667,High
117,female,group D,bachelor's degree,standard,none,78,82,79,79.66666666666667,Medium
118,female,group D,some high school,standard,none,51,63,61,58.333333333333336,Low
119,female,group C,some college,standard,none,55,69,65,63.0,Medium
120,female,group C,bachelor's degree,standard,completed,79,92,89,86.66666666666667,High
121,male,group B,associate's degree,standard,completed,91,89,92,90.66666666666667,High
122,female,group C,some college,standard,completed,88,93,93,91.33333333333333,High
123,male,group D,high school,free/reduced,none,63,57,56,58.666666666666664,Low
124,male,group E,some college,standard,none,83,80,73,78.66666666666667,Medium
125,female,group B,high school,standard,none,87,95,86,89.33333333333333,High
126,male,group B,some high school,standard,none,72,68,67,69.0,Medium
127,male,group D,some college,standard,completed,65,77,74,72.0,Medium
128,male,group D,master's degree,standard,none,82,82,74,79.33333333333333,Medium
129,female,group A,bachelor's degree,standard,none,51,49,51,50.333333333333336,Low
130,male,group D,master's degree,standard,none,89,84,82,85.0,High
131,male,group C,some high school,free/reduced,completed,53,37,40,43.333333333333336,Low
132,male,group E,some college,free/reduced,completed,87,74,70,77.0,Medium
133,female,group C,some college,standard,completed,75,81,84,80.0,High
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75,76.0,Medium
135,male,group C,bachelor's degree,standard,none,58,55,48,53.666666666666664,Low
136,male,group B,some high school,standard,completed,51,54,41,48.666666666666664,Low
137,male,group E,high school,standard,none,70,55,56,60.333333333333336,Medium
138,female,group C,associate's degree,standard,none,59,66,67,64.0,Medium
139,male,group D,some college,standard,completed,71,61,69,67.0,Medium
140,female,group D,some high school,standard,none,76,72,71,73.0,Medium
141,female,group C,some college,free/reduced,none,59,62,64,61.666666666666664,Medium
142,female,group E,some college,free/reduced,completed,42,55,54,50.333333333333336,Low
143,male,group A,high school,standard,none,57,43,47,49.0,Low
144,male,group D,some college,standard,none,88,73,78,79.66666666666667,Medium
145,female,group C,some college,free/reduced,none,22,39,33,31.333333333333332,Low
146,male,group B,some high school,standard,none,88,84,75,82.33333333333333,High
147,male,group C,associate's degree,free/reduced,none,73,68,66,69.0,Medium
148,female,group D,bachelor's degree,standard,completed,68,75,81,74.66666666666667,Medium
149,male,group E,associate's degree,free/reduced,completed,100,100,93,97.66666666666667,High
150,male,group A,some high school,standard,completed,62,67,69,66.0,Medium
151,male,group A,bachelor's degree,standard,none,77,67,68,70.66666666666667,Medium
152,female,group B,associate's degree,standard,completed,59,70,66,65.0,Medium
153,male,group D,bachelor's degree,standard,none,54,49,47,50.0,Low
154,male,group D,some high school,standard,none,62,67,61,63.333333333333336,Medium
155,female,group C,some college,standard,completed,70,89,88,82.33333333333333,High
156,female,group E,high school,free/reduced,completed,66,74,78,72.66666666666667,Medium
157,male,group B,some college,free/reduced,none,60,60,60,60.0,Medium
158,female,group B,associate's degree,standard,completed,61,86,87,78.0,Medium
159,male,group D,associate's degree,free/reduced,none,66,62,64,64.0,Medium
160,male,group B,associate's degree,free/reduced,completed,82,78,74,78.0,Medium
161,female,group E,some college,free/reduced,completed,75,88,85,82.66666666666667,High
162,male,group B,master's degree,free/reduced,none,49,53,52,51.333333333333336,Low
163,male,group C,high school,standard,none,52,53,49,51.333333333333336,Low
164,female,group E,master's degree,standard,none,81,92,91,88.0,High
165,female,group C,bachelor's degree,standard,completed,96,100,100,98.66666666666667,High
166,male,group C,high school,free/reduced,completed,53,51,51,51.666666666666664,Low
167,female,group B,master's degree,free/reduced,completed,58,76,78,70.66666666666667,Medium
168,female,group B,high school,standard,completed,68,83,78,76.33333333333333,Medium
169,female,group C,some college,free/reduced,completed,67,75,70,70.66666666666667,Medium
170,male,group A,high school,standard,completed,72,73,74,73.0,Medium
171,male,group E,some high school,standard,none,94,88,78,86.66666666666667,High
172,female,group D,some college,standard,none,79,86,81,82.0,High
173,female,group C,associate's degree,standard,none,63,67,70,66.66666666666667,Medium
174,female,group C,bachelor's degree,free/reduced,completed,43,51,54,49.333333333333336,Low
175,female,group C,master's degree,standard,completed,81,91,87,86.33333333333333,High
176,female,group B,high school,free/reduced,completed,46,54,58,52.666666666666664,Low
177,female,group C,associate's degree,standard,completed,71,77,77,75.0,Medium
178,female,group B,master's degree,free/reduced,completed,52,70,62,61.333333333333336,Medium
179,female,group D,some high school,standard,completed,97,100,100,99.0,High
180,male,group C,master's degree,free/reduced,completed,62,68,75,68.33333333333333,Medium
181,female,group C,some college,free/reduced,none,46,64,66,58.666666666666664,Low
182,female,group E,high school,standard,none,50,50,47,49.0,Low
183,female,group D,associate's degree,standard,none,65,69,70,68.0,Medium
184,male,group C,some high school,free/reduced,completed,45,52,49,48.666666666666664,Low
185,male,group C,associate's degree,free/reduced,completed,65,67,65,65.66666666666667,Medium
186,male,group E,high school,standard,none,80,76,65,73.66666666666667,Medium
187,male,group D,some high school,standard,completed,62,66,68,65.33333333333333,Medium
188,male,group B,some high school,free/reduced,none,48,52,45,48.333333333333336,Low
189,female,group C,bachelor's degree,standard,none,77,88,87,84.0,High
190,female,group E,associate's degree,standard,none,66,65,69,66.66666666666667,Medium
191,male,group D,some college,standard,completed,76,83,79,79.33333333333333,Medium
192,female,group B,some high school,standard,none,62,64,66,64.0,Medium
193,male,group D,some college,standard,completed,77,62,62,67.0,Medium
194,female,group C,master's degree,standard,completed,69,84,85,79.33333333333333,Medium
195,male,group D,associate's degree,standard,none,61,55,52,56.0,Low
196,male,group C,some high school,free/reduced,completed,59,69,65,64.33333333333333,Medium
197,male,group E,high school,free/reduced,none,55,56,51,54.0,Low
198,female,group B,some college,free/reduced,none,45,53,55,51.0,Low
199,female,group B,bachelor's degree,free/reduced,none,78,79,76,77.66666666666667,Medium
200,female,group C,associate's degree,standard,completed,67,84,86,79.0,Medium
201,female,group D,some college,free/reduced,none,65,81,77,74.33333333333333,Medium
202,male,group C,associate's degree,standard,none,69,77,69,71.66666666666667,Medium
203,female,group B,associate's degree,standard,none,57,69,68,64.66666666666667,Medium
204,male,group C,some college,standard,none,59,41,42,47.333333333333336,Low
205,male,group D,some high school,standard,completed,74,71,78,74.33333333333333,Medium
206,male,group E,bachelor's degree,standard,none,82,62,62,68.66666666666667,Medium
207,male,group E,high school,standard,completed,81,80,76,79.0,Medium
208,female,group B,some college,free/reduced,none,74,81,76,77.0,Medium
209,female,group B,some college,free/reduced,none,58,61,66,61.666666666666664,Medium
210,male,group D,some high school,free/reduced,completed,80,79,79,79.33333333333333,Medium
211,male,group C,some college,free/reduced,none,35,28,27,30.0,Low
212,female,group C,high school,free/reduced,none,42,62,60,54.666666666666664,Low
213,male,group C,associate's degree,free/reduced,completed,60,51,56,55.666666666666664,Low
214,male,group E,high school,standard,completed,87,91,81,86.33333333333333,High
215,male,group B,some high school,standard,completed,84,83,75,80.66666666666667,High
216,female,group E,associate's degree,free/reduced,completed,83,86,88,85.66666666666667,High
217,female,group C,high school,free/reduced,none,34,42,39,38.333333333333336,Low
218,male,group B,high school,free/reduced,none,66,77,70,71.0,Medium
219,male,group B,some high school,standard,completed,61,56,56,57.666666666666664,Low
220,female,group D,high school,standard,completed,56,68,74,66.0,Medium
221,male,group B,associate's degree,standard,none,87,85,73,81.66666666666667,High
222,female,group C,some high school,free/reduced,none,55,65,62,60.666666666666664,Medium
223,male,group D,some high school,standard,none,86,80,75,80.33333333333333,High
224,female,group B,associate's degree,standard,completed,52,66,73,63.666666666666664,Medium
225,female,group E,master's degree,free/reduced,none,45,56,54,51.666666666666664,Low
226,female,group C,some college,standard,none,72,72,71,71.66666666666667,Medium
227,male,group D,high school,standard,none,57,50,54,53.666666666666664,Low
228,male,group A,some high school,free/reduced,none,68,72,64,68.0,Medium
229,female,group C,some college,standard,completed,88,95,94,92.33333333333333,High
230,male,group D,some college,standard,none,76,64,66,68.66666666666667,Medium
231,male,group C,associate's degree,standard,none,46,43,42,43.666666666666664,Low
232,female,group B,bachelor's degree,standard,none,67,86,83,78.66666666666667,Medium
233,male,group E,some high school,standard,none,92,87,78,85.66666666666667,High
234,male,group C,bachelor's degree,standard,completed,83,82,84,83.0,High
235,male,group D,associate's degree,standard,none,80,75,77,77.33333333333333,Medium
236,male,group D,bachelor's degree,free/reduced,none,63,66,67,65.33333333333333,Medium
237,female,group D,some high school,standard,completed,64,60,74,66.0,Medium
238,male,group B,some college,standard,none,54,52,51,52.333333333333336,Low
239,male,group C,associate's degree,standard,none,84,80,80,81.33333333333333,High
240,male,group D,high school,free/reduced,completed,73,68,66,69.0,Medium
241,female,group E,bachelor's degree,standard,none,80,83,83,82.0,High
242,female,group D,high school,standard,none,56,52,55,54.333333333333336,Low
243,male,group E,some college,standard,none,59,51,43,51.0,Low
244,male,group D,some high school,standard,none,75,74,69,72.66666666666667,Medium
245,male,group C,associate's degree,standard,none,85,76,71,77.33333333333333,Medium
246,male,group E,associate's degree,standard,none,89,76,74,79.66666666666667,Medium
247,female,group B,high school,standard,completed,58,70,68,65.33333333333333,Medium
248,female,group B,high school,standard,none,65,64,62,63.666666666666664,Medium
249,male,group C,high school,standard,none,68,60,53,60.333333333333336,Medium
250,male,group A,some high school,standard,completed,47,49,49,48.333333333333336,Low
251,female,group D,some college,free/reduced,none,71,83,83,79.0,Medium
252,female,group B,some high school,standard,completed,60,70,70,66.66666666666667,Medium
253,male,group D,master's degree,standard,none,80,80,72,77.33333333333333,Medium
254,male,group D,high school,standard,none,54,52,52,52.666666666666664,Low
255,female,group E,some college,standard,none,62,73,70,68.33333333333333,Medium
256,female,group C,associate's degree,free/reduced,none,64,73,68,68.33333333333333,Medium
257,male,group C,associate's degree,standard,completed,78,77,77,77.33333333333333,Medium
258,female,group B,some college,standard,none,70,75,78,74.33333333333333,Medium
259,female,group C,master's degree,free/reduced,completed,65,81,81,75.66666666666667,Medium
260,female,group C,some high school,free/reduced,completed,64,79,77,73.33333333333333,Medium
261,male,group C,some college,standard,completed,79,79,78,78.66666666666667,Medium
262,female,group C,some high school,free/reduced,none,44,50,51,48.333333333333336,Low
263,female,group E,high school,standard,none,99,93,90,94.0,High
264,male,group D,high school,standard,none,76,73,68,72.33333333333333,Medium
265,male,group D,some high school,free/reduced,none,59,42,41,47.333333333333336,Low
266,female,group C,bachelor's degree,standard,none,63,75,81,73.0,Medium
267,female,group D,high school,standard,none,69,72,77,72.66666666666667,Medium
268,female,group D,associate's degree,standard,completed,88,92,95,91.66666666666667,High
269,female,group E,some college,free/reduced,none,71,76,70,72.33333333333333,Medium
270,male,group C,bachelor's degree,standard,none,69,63,61,64.33333333333333,Medium
271,male,group C,some college,standard,none,58,49,42,49.666666666666664,Low
272,female,group D,associate's degree,free/reduced,none,47,53,58,52.666666666666664,Low
273,female,group D,some college,standard,none,65,70,71,68.66666666666667,Medium
274,male,group B,some college,standard,completed,88,85,76,83.0,High
275,male,group C,bachelor's degree,standard,none,83,78,73,78.0,Medium
276,female,group C,some high school,standard,completed,85,92,93,90.0,High
277,female,group E,high school,standard,completed,59,63,75,65.66666666666667,Medium
278,female,group C,some high school,free/reduced,none,65,86,80,77.0,Medium
279,male,group B,bachelor's degree,free/reduced,none,73,56,57,62.0,Medium
280,male,group D,high school,standard,none,53,52,42,49.0,Low
281,male,group D,high school,standard,none,45,48,46,46.333333333333336,Low
282,female,group D,bachelor's degree,free/reduced,none,73,79,84,78.66666666666667,Medium
283,female,group D,some college,free/reduced,completed,70,78,78,75.33333333333333,Medium
284,female,group B,some high school,standard,none,37,46,46,43.0,Low
285,male,group B,associate's degree,standard,completed,81,82,82,81.66666666666667,High
286,male,group E,associate's degree,standard,completed,97,82,88,89.0,High
287,female,group B,some high school,standard,none,67,89,82,79.33333333333333,Medium
288,male,group B,bachelor's degree,free/reduced,none,88,75,76,79.66666666666667,Medium
289,male,group E,some high school,standard,completed,77,76,77,76.66666666666667,Medium
290,male,group C,associate's degree,standard,none,76,70,68,71.33333333333333,Medium
291,male,group D,some high school,standard,none,86,73,70,76.33333333333333,Medium
292,male,group C,some high school,standard,completed,63,60,57,60.0,Medium
293,female,group E,bachelor's degree,standard,none,65,73,75,71.0,Medium
294,male,group D,high school,free/reduced,completed,78,77,80,78.33333333333333,Medium
295,male,group B,associate's degree,free/reduced,none,67,62,60,63.0,Medium
296,male,group A,some high school,standard,completed,46,41,43,43.333333333333336,Low
297,male,group E,associate's degree,standard,completed,71,74,68,71.0,Medium
298,male,group C,high school,free/reduced,completed,40,46,50,45.333333333333336,Low
299,male,group D,associate's degree,free/reduced,none,90,87,75,84.0,High
300,male,group A,some college,free/reduced,completed,81,78,81,80.0,High
301,male,group D,some high school,free/reduced,none,56,54,52,54.0,Low
302,female,group C,associate's degree,standard,completed,67,84,81,77.33333333333333,Medium
303,male,group B,associate's degree,standard,none,80,76,64,73.33333333333333,Medium
304,female,group C,associate's degree,standard,completed,74,75,83,77.33333333333333,Medium
305,male,group A,some college,standard,none,69,67,69,68.33333333333333,Medium
306,male,group E,some college,standard,completed,99,87,81,89.0,High
307,male,group C,some high school,standard,none,51,52,44,49.0,Low
308,female,group B,associate's degree,free/reduced,none,53,71,67,63.666666666666664,Medium
309,female,group D,high school,free/reduced,none,49,57,52,52.666666666666664,Low
310,female,group B,associate's degree,standard,none,73,76,80,76.33333333333333,Medium
311,male,group B,bachelor's degree,standard,none,66,60,57,61.0,Medium
312,male,group D,bachelor's degree,standard,completed,67,61,68,65.33333333333333,Medium
313,female,group C,associate's degree,free/reduced,completed,68,67,69,68.0,Medium
314,female,group C,bachelor's degree,standard,completed,59,64,75,66.0,Medium
315,male,group C,high school,standard,none,71,66,65,67.33333333333333,Medium
316,female,group D,master's degree,standard,completed,77,82,91,83.33333333333333,High
317,male,group C,associate's degree,standard,none,83,72,78,77.66666666666667,Medium
318,male,group B,bachelor's degree,standard,none,63,71,69,67.66666666666667,Medium
319,female,group D,associate's degree,free/reduced,none,56,65,63,61.333333333333336,Medium
320,female,group C,high school,free/reduced,completed,67,79,84,76.66666666666667,Medium
321,female,group E,high school,standard,none,75,86,79,80.0,High
322,female,group C,some college,standard,none,71,81,80,77.33333333333333,Medium
323,female,group C,some high school,free/reduced,none,43,53,53,49.666666666666664,Low
324,female,group C,high school,free/reduced,none,41,46,43,43.333333333333336,Low
325,female,group C,some college,standard,none,82,90,94,88.66666666666667,High
326,male,group C,some college,standard,none,61,61,62,61.333333333333336,Medium
327,male,group A,some college,free/reduced,none,28,23,19,23.333333333333332,Low
328,male,group C,associate's degree,standard,completed,82,75,77,78.0,Medium
329,female,group B,some high school,standard,none,41,55,51,49.0,Low
330,male,group C,high school,standard,none,71,60,61,64.0,Medium
